Historial de click
ID;Scene;Momento
A;ROOM1;3323
A;ROOM1;3323
A;ROOM1;4324
A;ROOM3;5325
B;ROOM3;6325


Resumen de click en botones
ID;Scene;Numero de click
A;ROOM1;3
A;ROOM3;1
B;ROOM3;1


Tiempo en las escenas
Scene;Tiempo;Veces en la escena;totalClicks
ROOM1;2002;1;3
ROOM3;1000;1;2
Historial de click
ID;Scene;Momento
A;ROOM1;4737
A;ROOM1;4737
A;ROOM1;5737
A;ROOM3;6738
B;ROOM3;7739


Resumen de click en botones
ID;Scene;Numero de click
A;ROOM1;3
A;ROOM3;1
B;ROOM3;1


Tiempo en las escenas
Scene;Tiempo;Veces en la escena;totalClicks
ROOM1;2001;1;3
ROOM3;1001;1;2
Historial de click
ID;Scene;Momento
A;ROOM1;4198
A;ROOM1;4198
A;ROOM1;5198
A;ROOM3;6199
B;ROOM3;7200


Resumen de click en botones
ID;Scene;Numero de click
A;ROOM1;3
A;ROOM3;1
B;ROOM3;1


Tiempo en las escenas
Scene;Tiempo;Veces en la escena;totalClicks
ROOM1;2001;1;3
ROOM3;1001;1;2
Historial de click
ID;Scene;Momento
A;ROOM1;4145
A;ROOM1;4145
A;ROOM1;5147
A;ROOM3;6148
B;ROOM3;7148


Resumen de click en botones
ID;Scene;Numero de click
A;ROOM1;3
A;ROOM3;1
B;ROOM3;1


Tiempo en las escenas
Scene;Tiempo;Veces en la escena;totalClicks
ROOM1;2003;1;3
ROOM3;1000;1;2
Historial de click
ID;Scene;Momento
A;ROOM1;4141
A;ROOM1;4141
A;ROOM1;5141
A;ROOM3;6142
B;ROOM3;7143


Resumen de click en botones
ID;Scene;Numero de click
A;ROOM1;3
A;ROOM3;1
B;ROOM3;1


Tiempo en las escenas
Scene;Tiempo;Veces en la escena;totalClicks
ROOM1;2001;1;3
ROOM3;1001;1;2
Historial de click
ID;Scene;Momento
A;ROOM1;4240
A;ROOM1;4240
A;ROOM1;5241
A;ROOM3;6242
B;ROOM3;7242


Resumen de click en botones
ID;Scene;Numero de click
A;ROOM1;3
A;ROOM3;1
B;ROOM3;1


Tiempo en las escenas
Scene;Tiempo;Veces en la escena;totalClicks
ROOM1;2001;1;3
ROOM3;1000;1;2
Historial de click
ID;Scene;Momento
A;ROOM1;4155
A;ROOM1;4155
A;ROOM1;5155
A;ROOM3;6156
B;ROOM3;7157


Resumen de click en botones
ID;Scene;Numero de click
A;ROOM1;3
A;ROOM3;1
B;ROOM3;1


Tiempo en las escenas
Scene;Tiempo;Veces en la escena;totalClicks
ROOM1;2001;1;3
ROOM3;1001;1;2
Historial de click
ID;Scene;Momento
A;ROOM1;4175
A;ROOM1;4175
A;ROOM1;5176
A;ROOM3;6176
B;ROOM3;7177


Resumen de click en botones
ID;Scene;Numero de click
A;ROOM1;3
A;ROOM3;1
B;ROOM3;1


Tiempo en las escenas
Scene;Tiempo;Veces en la escena;totalClicks
ROOM1;2001;1;3
ROOM3;1001;1;2
Historial de click
ID;Scene;Momento
A;ROOM1;4190
A;ROOM1;4190
A;ROOM1;5190
A;ROOM3;6191
B;ROOM3;7191


Resumen de click en botones
ID;Scene;Numero de click
A;ROOM1;3
A;ROOM3;1
B;ROOM3;1


Tiempo en las escenas
Scene;Tiempo;Veces en la escena;totalClicks
ROOM1;2001;1;3
ROOM3;1000;1;2
Historial de click
ID;Scene;Momento
A;ROOM1;4174
A;ROOM1;4174
A;ROOM1;5175
A;ROOM3;6176
B;ROOM3;7176


Resumen de click en botones
ID;Scene;Numero de click
A;ROOM1;3
A;ROOM3;1
B;ROOM3;1


Tiempo en las escenas
Scene;Tiempo;Veces en la escena;totalClicks
ROOM1;2002;1;3
ROOM3;1000;1;2
Historial de click
ID;Scene;Momento
A;ROOM1;4277
A;ROOM1;4277
A;ROOM1;5278
A;ROOM3;6279
B;ROOM3;7280


Resumen de click en botones
ID;Scene;Numero de click
A;ROOM1;3
A;ROOM3;1
B;ROOM3;1


Tiempo en las escenas
Scene;Tiempo;Veces en la escena;totalClicks
ROOM1;2002;1;3
ROOM3;1001;1;2
Historial de click
ID;Scene;Momento
A;ROOM1;4206
A;ROOM1;4206
A;ROOM1;5206
A;ROOM3;6207
B;ROOM3;7208


Resumen de click en botones
ID;Scene;Numero de click
A;ROOM1;3
A;ROOM3;1
B;ROOM3;1


Tiempo en las escenas
Scene;Tiempo;Veces en la escena;totalClicks
ROOM1;2001;1;3
ROOM3;1001;1;2
Historial de click
ID;Scene;Momento
A;ROOM1;4125
A;ROOM1;4125
A;ROOM1;5126
A;ROOM3;6126
B;ROOM3;7126


Resumen de click en botones
ID;Scene;Numero de click
A;ROOM1;3
A;ROOM3;1
B;ROOM3;1


Tiempo en las escenas
Scene;Tiempo;Veces en la escena;totalClicks
ROOM1;2001;1;3
ROOM3;1000;1;2
Historial de click
ID;Scene;Momento
A;ROOM1;4180
A;ROOM1;4180
A;ROOM1;5181
A;ROOM3;6182
B;ROOM3;7182


Resumen de click en botones
ID;Scene;Numero de click
A;ROOM1;3
A;ROOM3;1
B;ROOM3;1


Tiempo en las escenas
Scene;Tiempo;Veces en la escena;totalClicks
ROOM1;2001;1;3
ROOM3;1001;1;2
Historial de click
ID;Scene;Momento
A;ROOM1;4150
A;ROOM1;4150
A;ROOM1;5150
A;ROOM3;6151
B;ROOM3;7151


Resumen de click en botones
ID;Scene;Numero de click
A;ROOM1;3
A;ROOM3;1
B;ROOM3;1


Tiempo en las escenas
Scene;Tiempo;Veces en la escena;totalClicks
ROOM1;2001;1;3
ROOM3;1000;1;2
Historial de click
ID;Scene;Momento
A;ROOM1;4125
A;ROOM1;4125
A;ROOM1;5125
A;ROOM3;6126
B;ROOM3;7127


Resumen de click en botones
ID;Scene;Numero de click
A;ROOM1;3
A;ROOM3;1
B;ROOM3;1


Tiempo en las escenas
Scene;Tiempo;Veces en la escena;totalClicks
ROOM1;2001;1;3
ROOM3;1001;1;2
Historial de click
ID;Scene;Momento
A;ROOM1;4217
A;ROOM1;4217
A;ROOM1;5218
A;ROOM3;6219
B;ROOM3;7219


Resumen de click en botones
ID;Scene;Numero de click
A;ROOM1;3
A;ROOM3;1
B;ROOM3;1


Tiempo en las escenas
